::1 - - [07/Aug/2018:12:18:34 +0300] "GET /phpmyadmin/ HTTP/1.1" 200 12710 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.10240"
::1 - - [07/Aug/2018:12:19:05 +0300] "GET /phpmyadmin/ HTTP/1.1" 200 12721 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.10240"
::1 - - [07/Aug/2018:12:19:05 +0300] "GET /phpmyadmin/themes/pmahomme/jquery/jquery-ui-1.11.4.css HTTP/1.1" 200 35020 "http://localhost/phpmyadmin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.10240"
::1 - - [07/Aug/2018:12:19:05 +0300] "GET /phpmyadmin/js/codemirror/addon/hint/show-hint.css?v=4.6.5.2 HTTP/1.1" 200 662 "http://localhost/phpmyadmin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.10240"
::1 - - [07/Aug/2018:12:19:05 +0300] "GET /phpmyadmin/themes/pmahomme/css/printview.css?v=4.6.5.2 HTTP/1.1" 200 2611 "http://localhost/phpmyadmin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.10240"
::1 - - [07/Aug/2018:12:19:05 +0300] "GET /phpmyadmin/js/codemirror/addon/lint/lint.css?v=4.6.5.2 HTTP/1.1" 200 3068 "http://localhost/phpmyadmin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.10240"
::1 - - [07/Aug/2018:12:19:05 +0300] "GET /phpmyadmin/js/codemirror/lib/codemirror.css?v=4.6.5.2 HTTP/1.1" 200 7771 "http://localhost/phpmyadmin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.10240"
::1 - - [07/Aug/2018:12:19:05 +0300] "GET /phpmyadmin/phpmyadmin.css.php?nocache=5942759165ltr HTTP/1.1" 200 20071 "http://localhost/phpmyadmin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.10240"
::1 - - [07/Aug/2018:12:19:06 +0300] "GET /phpmyadmin/themes/pmahomme/img/logo_left.png HTTP/1.1" 200 2234 "http://localhost/phpmyadmin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.10240"
::1 - - [07/Aug/2018:12:19:06 +0300] "GET /phpmyadmin/themes/dot.gif HTTP/1.1" 200 43 "http://localhost/phpmyadmin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.10240"
::1 - - [07/Aug/2018:12:19:06 +0300] "GET /phpmyadmin/themes/pmahomme/img/ajax_clock_small.gif HTTP/1.1" 200 1810 "http://localhost/phpmyadmin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.10240"
::1 - - [07/Aug/2018:12:19:06 +0300] "GET /phpmyadmin/themes/pmahomme/img/s_collapseall.png HTTP/1.1" 200 170 "http://localhost/phpmyadmin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.10240"
::1 - - [07/Aug/2018:12:19:06 +0300] "GET /phpmyadmin/themes/pmahomme/img/b_plugin.png HTTP/1.1" 200 591 "http://localhost/phpmyadmin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.10240"
::1 - - [07/Aug/2018:12:19:06 +0300] "GET /phpmyadmin/js/get_scripts.js.php?scripts%5B%5D=jquery/jquery.debounce-1.0.5.js&scripts%5B%5D=menu-resizer.js&scripts%5B%5D=cross_framing_protection.js&scripts%5B%5D=rte.js&scripts%5B%5D=tracekit/tracekit.js&scripts%5B%5D=error_report.js&scripts%5B%5D=config.js&scripts%5B%5D=doclinks.js&scripts%5B%5D=functions.js&scripts%5B%5D=navigation.js&v=4.6.5.2 HTTP/1.1" 200 81447 "http://localhost/phpmyadmin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.10240"
